      |    PRODUCTION   |       GOAL      | VISUAL-LOCATION |      VISUAL     |      MANUAL     |
9.416 |                 | .               |                 |                 |                 |
9.441 |                 | .               |                 |                 |                 |
9.466 |                 | .               |                 |                 |                 |
9.491 |                 | .               |                 |                 |                 |
9.516 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
9.541 |  ************** | .               |                 |                 |                 |
9.566 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
9.591 |  ************** | .               | .               |                 |                 |
9.616 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
9.641 |                 | .               |                 |  ************** |  ************** |
9.656 |                 | .               |                 |  ************** |  ************** |
9.666 |                 | .               |                 |  ************** |  ************** |
9.676 |                 | .               |                 |  ************** |  ************** |
9.696 |                 | .               |                 |  ************** |  ************** |
9.701 |                 | .               |                 | .    TEXT17     |  ************** |
9.716 |                 | .               |                 | .               |  ************** |
9.736 |                 | .               |                 | .               |  ************** |
9.756 |                 | .               |                 | .               |  ************** |
9.776 |                 | .               |                 | .               |  ************** |
9.796 |                 | .               |                 | .               |  ************** |
9.806 |  +CLICK-SECOND+ | .               |                 | .               |                 |
9.831 |  ************** | .               |                 | .               |                 |
9.856 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
9.881 |                 | .               |                 | .               |  ************** |
9.886 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 9 #(5 106).
9.896 |                 | .               |                 | .               |  ************** |
9.906 |                 | .               |                 | .               |  ************** |
9.916 |  +READ-SECOND-+ | .               |                 | .               |                 |
9.941 |  ************** | .               |                 | .               |                 |
9.966 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
9.991 |  ************** | .               |                 | .               |                 |
10.016 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
10.041 |  ************** | .               |                 |                 |                 |
10.066 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
10.091 |  ************** | .               | .               |                 |                 |
10.116 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
10.141 |                 | .               |                 |  ************** |  ************** |
10.156 |                 | .               |                 |  ************** |  ************** |
10.166 |                 | .               |                 |  ************** |  ************** |
10.176 |                 | .               |                 |  ************** |  ************** |
10.196 |                 | .               |                 |  ************** |  ************** |
10.201 |                 | .               |                 | .    TEXT18     |  ************** |
10.216 |                 | .               |                 | .               |  ************** |
10.236 |                 | .               |                 | .               |  ************** |
10.256 |                 | .               |                 | .               |  ************** |
10.276 |                 | .               |                 | .               |  ************** |
10.297 |                 | .               |                 | .               |  ************** |
10.307 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
10.332 |  ************** | .               |                 | .               |                 |
10.357 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
10.382 |                 | .               |                 | .               |  ************** |
10.387 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 9 #(205 206).
10.397 |                 | .               |                 | .               |  ************** |
10.407 |                 | .               |                 | .               |  ************** |
10.417 |  +READ-FIRST-T+ | .               |                 | .               |                 |
10.442 |  ************** | .               |                 | .               |                 |
10.467 |  ************** | .    =======    |                 | .    -------    |                 |
10.492 |                 | .               |                 |                 |                 |
10.517 |                 | .               |                 |                 |                 |
10.542 |                 | .               |                 |                 |                 |
10.567 |                 | .               |                 |                 |                 |
10.592 |                 | .               |                 |                 |                 |
10.617 |                 | .               |                 |                 |                 |
10.642 |                 | .               |                 |                 |                 |
10.667 |  +CHECK-FOR-MA+ | .               |                 |                 |                 |
10.692 |  ************** | .               |                 |                 |                 |
#|Warning: A retrieval event has been aborted by a new request |#
10.717 |  +FIND-MATCHIN+ | .    =======    |                 |                 |                 |
10.742 |  ************** | .               |                 |                 |                 |
10.767 |  ************** | .    =======    |                 |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
10.792 |                 | .               |                 |  ************** |  ************** |
10.807 |                 | .               |                 |  ************** |  ************** |
10.817 |                 | .               |                 |  ************** |  ************** |
10.827 |                 | .               |                 |  ************** |  ************** |
10.847 |                 | .               |                 |  ************** |  ************** |
10.852 |                 | .               |                 | .    TEXT19     |  ************** |
10.867 |                 | .               |                 | .               |  ************** |
10.887 |                 | .               |                 | .               |  ************** |
10.907 |                 | .               |                 | .               |  ************** |
10.927 |                 | .               |                 | .               |  ************** |
10.948 |                 | .               |                 | .               |  ************** |
10.958 |  +CLICK-SECOND+ | .               |                 | .               |                 |
10.983 |  ************** | .               |                 | .               |                 |
11.008 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
11.033 |                 | .               |                 | .               |  ************** |
11.038 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 9 #(5 106).
*** CONCENTRATION: Removing matching '9's from window.
*** CONCENTRATION: 12 tiles remain.
11.048 |                 | .               |                 | .               |  ************** |
11.058 |                 | .               |                 | .************** |  ************** |
11.068 |  +READ-SECOND-+ | .               |                 | .************** |                 |
11.093 |  ************** | .               |                 | .************** |                 |
11.118 |  +MATCH-FOUND-+ | .    =======    |                 | .************** |                 |
11.143 |  ************** | .               |                 |E.************** |                 |
11.168 |  +START-FIND-U+ | .    =======    |                 |E.    -------    |                 |
11.193 |  ************** | .               |                 |E                |                 |
11.218 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |E                |                 |
11.243 |  ************** | .               | .               |E                |                 |
11.268 |  ************** | .    =======    | .    -------    |E +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
11.293 |                 | .               |                 |  ************** |  ************** |
11.308 |                 | .               |                 |  ************** |  ************** |
11.318 |                 | .               |                 |  ************** |  ************** |
11.328 |                 | .               |                 |  ************** |  ************** |
11.348 |                 | .               |                 |  ************** |  ************** |
11.353 |                 | .               |                 | .    TEXT20     |  ************** |
11.376 |                 | .               |                 | .               |  ************** |
11.386 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
11.411 |  ************** | .               |                 | .               |                 |
11.436 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
11.461 |                 | .               |                 | .               |  ************** |
11.466 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 2 #(105 206).
11.476 |                 | .               |                 | .               |  ************** |
11.486 |                 | .               |                 | .               |  ************** |
11.496 |  +READ-FIRST-T+ | .               |                 | .               |                 |
11.521 |  ************** | .               |                 | .               |                 |
11.546 |  ************** | .    =======    |                 | .    -------    |                 |
11.571 |                 | .               |                 |                 |                 |
11.596 |                 | .               |                 |                 |                 |
11.621 |                 | .               |                 |                 |                 |
11.646 |                 | .               |                 |                 |                 |
11.671 |                 | .               |                 |                 |                 |
11.696 |                 | .               |                 |                 |                 |
11.721 |                 | .               |                 |                 |                 |
11.746 |  +CHECK-FOR-MA+ | .               |                 |                 |                 |
11.771 |  ************** | .               |                 |                 |                 |
11.796 |  +FIND-MATCHIN+ | .    =======    |                 |                 |                 |
11.821 |  ************** | .               |                 |                 |                 |
11.846 |  ************** | .    =======    |                 |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
11.871 |                 | .               |                 |  ************** |  ************** |
11.886 |                 | .               |                 |  ************** |  ************** |
11.896 |                 | .               |                 |  ************** |  ************** |
11.906 |                 | .               |                 |  ************** |  ************** |
11.926 |                 | .               |                 |  ************** |  ************** |
11.931 |                 | .               |                 | .    TEXT21     |  ************** |
11.954 |                 | .               |                 | .               |  ************** |
11.964 |  +CLICK-SECOND+ | .               |                 | .               |                 |
11.989 |  ************** | .               |                 | .               |                 |
12.014 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
12.039 |                 | .               |                 | .               |  ************** |
12.044 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 2 #(205 106).
*** CONCENTRATION: Removing matching '2's from window.
*** CONCENTRATION: 10 tiles remain.
12.054 |                 | .               |                 | .               |  ************** |
12.064 |                 | .               |                 | .************** |  ************** |
12.074 |  +READ-SECOND-+ | .               |                 | .************** |                 |
12.099 |  ************** | .               |                 | .************** |                 |
12.124 |  +MATCH-FOUND-+ | .    =======    |                 | .************** |                 |
12.149 |  ************** | .               |                 |E.************** |                 |
12.174 |  +START-FIND-U+ | .    =======    |                 |E.    -------    |                 |
12.199 |  ************** | .               |                 |E                |                 |
12.224 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |E                |                 |
12.249 |  ************** | .               | .               |E                |                 |
12.274 |  ************** | .    =======    | .    -------    |E +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
12.299 |                 | .               |                 |  ************** |  ************** |
12.314 |                 | .               |                 |  ************** |  ************** |
12.324 |                 | .               |                 |  ************** |  ************** |
12.334 |                 | .               |                 |  ************** |  ************** |
12.354 |                 | .               |                 |  ************** |  ************** |
12.359 |                 | .               |                 | .    TEXT22     |  ************** |
12.374 |                 | .               |                 | .               |  ************** |
12.394 |                 | .               |                 | .               |  ************** |
12.414 |                 | .               |                 | .               |  ************** |
12.434 |                 | .               |                 | .               |  ************** |
12.455 |                 | .               |                 | .               |  ************** |
12.465 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
12.490 |  ************** | .               |                 | .               |                 |
12.515 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
12.540 |                 | .               |                 | .               |  ************** |
12.545 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 3 #(305 306).
12.555 |                 | .               |                 | .               |  ************** |
12.565 |                 | .               |                 | .               |  ************** |
12.575 |  +READ-FIRST-T+ | .               |                 | .               |                 |
12.600 |  ************** | .               |                 | .               |                 |
12.625 |  ************** | .    =======    |                 | .    -------    |                 |
12.650 |                 | .               |                 |                 |                 |
12.675 |                 | .               |                 |                 |                 |
12.700 |                 | .               |                 |                 |                 |
12.725 |                 | .               |                 |                 |                 |
12.750 |                 | .               |                 |                 |                 |
12.775 |                 | .               |                 |                 |                 |
12.800 |                 | .               |                 |                 |                 |
12.825 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
12.850 |  ************** | .               |                 |                 |                 |
12.875 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
12.900 |  ************** | .               | .               |                 |                 |
12.925 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
12.950 |                 | .               |                 |  ************** |  ************** |
12.965 |                 | .               |                 |  ************** |  ************** |
12.975 |                 | .               |                 |  ************** |  ************** |
12.985 |                 | .               |                 |  ************** |  ************** |
13.005 |                 | .               |                 |  ************** |  ************** |
13.010 |                 | .               |                 | .    TEXT23     |  ************** |
13.033 |                 | .               |                 | .               |  ************** |
13.043 |  +CLICK-SECOND+ | .               |                 | .               |                 |
13.068 |  ************** | .               |                 | .               |                 |
13.093 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
13.118 |                 | .               |                 | .               |  ************** |
13.123 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 8 #(205 306).
13.133 |                 | .               |                 | .               |  ************** |
13.143 |                 | .               |                 | .               |  ************** |
13.153 |  +READ-SECOND-+ | .               |                 | .               |                 |
13.178 |  ************** | .               |                 | .               |                 |
13.203 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
13.228 |  ************** | .               |                 | .               |                 |
13.253 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
13.278 |  ************** | .               |                 |                 |                 |
13.303 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
13.328 |  ************** | .               | .               |                 |                 |
13.353 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
13.378 |                 | .               |                 |  ************** |  ************** |
13.393 |                 | .               |                 |  ************** |  ************** |
13.403 |                 | .               |                 |  ************** |  ************** |
13.413 |                 | .               |                 |  ************** |  ************** |
13.433 |                 | .               |                 |  ************** |  ************** |
13.438 |                 | .               |                 | .    TEXT24     |  ************** |
13.453 |                 | .               |                 | .               |  ************** |
13.473 |                 | .               |                 | .               |  ************** |
13.493 |                 | .               |                 | .               |  ************** |
13.513 |                 | .               |                 | .               |  ************** |
13.534 |                 | .               |                 | .               |  ************** |
13.544 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
13.569 |  ************** | .               |                 | .               |                 |
13.594 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
13.619 |                 | .               |                 | .               |  ************** |
13.624 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 4 #(5 206).
13.634 |                 | .               |                 | .               |  ************** |
13.644 |                 | .               |                 | .               |  ************** |
13.654 |  +READ-FIRST-T+ | .               |                 | .               |                 |
13.679 |  ************** | .               |                 | .               |                 |
13.704 |  ************** | .    =======    |                 | .    -------    |                 |
13.729 |                 | .               |                 |                 |                 |
13.754 |                 | .               |                 |                 |                 |
13.779 |                 | .               |                 |                 |                 |
13.804 |                 | .               |                 |                 |                 |
13.829 |                 | .               |                 |                 |                 |
13.854 |                 | .               |                 |                 |                 |
13.879 |                 | .               |                 |                 |                 |
13.904 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
13.929 |  ************** | .               |                 |                 |                 |
13.954 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
13.979 |  ************** | .               | .               |                 |                 |
14.004 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
14.029 |                 | .               |                 |  ************** |  ************** |
14.044 |                 | .               |                 |  ************** |  ************** |
14.054 |                 | .               |                 |  ************** |  ************** |
14.064 |                 | .               |                 |  ************** |  ************** |
14.084 |                 | .               |                 |  ************** |  ************** |
14.089 |                 | .               |                 | .    TEXT25     |  ************** |
14.104 |                 | .               |                 | .               |  ************** |
14.124 |                 | .               |                 | .               |  ************** |
14.144 |                 | .               |                 | .               |  ************** |
14.164 |                 | .               |                 | .               |  ************** |
14.184 |                 | .               |                 | .               |  ************** |
14.204 |                 | .               |                 | .               |  ************** |
14.229 |                 | .               |                 | .               |  ************** |
14.231 |                 | .               |                 | .               |  ************** |
14.241 |  +CLICK-SECOND+ | .               |                 | .               |                 |
14.253 |  ************** | .               |                 | .               |                 |
14.278 |  ************** | .               |                 | .               |                 |
14.291 |                 | .    =======    |                 | .               |  + CLICK-MOUSE+ |
14.316 |                 | .               |                 | .               |  ************** |
14.321 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 7 #(305 6).
14.331 |                 | .               |                 | .               |  ************** |
14.341 |                 | .               |                 | .               |  ************** |
14.351 |  +READ-SECOND-+ | .               |                 | .               |                 |
14.376 |  ************** | .               |                 | .               |                 |
14.401 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
14.426 |  ************** | .               |                 | .               |                 |
14.451 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
14.476 |  ************** | .               |                 |                 |                 |
14.501 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
14.526 |  ************** | .               | .               |                 |                 |
14.551 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
14.576 |                 | .               |                 |  ************** |  ************** |
14.591 |                 | .               |                 |  ************** |  ************** |
14.601 |                 | .               |                 |  ************** |  ************** |
14.611 |                 | .               |                 |  ************** |  ************** |
14.631 |                 | .               |                 |  ************** |  ************** |
14.636 |                 | .               |                 | .    TEXT26     |  ************** |
14.651 |                 | .               |                 | .               |  ************** |
14.671 |                 | .               |                 | .               |  ************** |
14.691 |                 | .               |                 | .               |  ************** |
14.711 |                 | .               |                 | .               |  ************** |
14.731 |                 | .               |                 | .               |  ************** |
14.751 |                 | .               |                 | .               |  ************** |
14.776 |                 | .               |                 | .               |  ************** |
14.778 |                 | .               |                 | .               |  ************** |
14.788 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
14.813 |  ************** | .               |                 | .               |                 |
14.838 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
14.863 |                 | .               |                 | .               |  ************** |
14.868 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 8 #(105 306).
14.878 |                 | .               |                 | .               |  ************** |
14.888 |                 | .               |                 | .               |  ************** |
14.898 |  +READ-FIRST-T+ | .               |                 | .               |                 |
14.923 |  ************** | .               |                 | .               |                 |
14.948 |  ************** | .    =======    |                 | .    -------    |                 |
14.973 |                 | .               |                 |                 |                 |
14.998 |                 | .               |                 |                 |                 |
15.023 |                 | .               |                 |                 |                 |
15.048 |                 | .               |                 |                 |                 |
15.073 |                 | .               |                 |                 |                 |
15.098 |                 | .               |                 |                 |                 |
15.123 |                 | .               |                 |                 |                 |
15.148 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
15.173 |  ************** | .               |                 |                 |                 |
15.198 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
15.223 |  ************** | .               | .               |                 |                 |
15.248 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
15.273 |                 | .               |                 |  ************** |  ************** |
15.288 |                 | .               |                 |  ************** |  ************** |
15.298 |                 | .               |                 |  ************** |  ************** |
15.308 |                 | .               |                 |  ************** |  ************** |
15.328 |                 | .               |                 |  ************** |  ************** |
15.333 |                 | .               |                 | .    TEXT27     |  ************** |
15.348 |                 | .               |                 | .               |  ************** |
15.368 |                 | .               |                 | .               |  ************** |
15.388 |                 | .               |                 | .               |  ************** |
15.408 |                 | .               |                 | .               |  ************** |
15.429 |                 | .               |                 | .               |  ************** |
15.439 |  +CLICK-SECOND+ | .               |                 | .               |                 |
15.464 |  ************** | .               |                 | .               |                 |
15.489 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
15.514 |                 | .               |                 | .               |  ************** |
15.519 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 3 #(305 306).
15.529 |                 | .               |                 | .               |  ************** |
15.539 |                 | .               |                 | .               |  ************** |
15.549 |  +READ-SECOND-+ | .               |                 | .               |                 |
15.574 |  ************** | .               |                 | .               |                 |
15.599 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
15.624 |  ************** | .               |                 | .               |                 |
15.649 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
15.674 |  ************** | .               |                 |                 |                 |
15.699 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
15.724 |  ************** | .               | .               |                 |                 |
15.749 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
15.774 |                 | .               |                 |  ************** |  ************** |
15.789 |                 | .               |                 |  ************** |  ************** |
15.799 |                 | .               |                 |  ************** |  ************** |
15.809 |                 | .               |                 |  ************** |  ************** |
15.829 |                 | .               |                 |  ************** |  ************** |
15.834 |                 | .               |                 | .    TEXT28     |  ************** |
15.849 |                 | .               |                 | .               |  ************** |
15.857 |                 | .               |                 | .               |  ************** |
15.867 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
15.892 |  ************** | .               |                 | .               |                 |
15.917 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
15.942 |                 | .               |                 | .               |  ************** |
15.947 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 8 #(205 306).
15.957 |                 | .               |                 | .               |  ************** |
15.967 |                 | .               |                 | .               |  ************** |
15.977 |  +READ-FIRST-T+ | .               |                 | .               |                 |
16.002 |  ************** | .               |                 | .               |                 |
16.027 |  ************** | .    =======    |                 | .    -------    |                 |
16.052 |                 | .               |                 |                 |                 |
16.077 |                 | .               |                 |                 |                 |
16.102 |                 | .               |                 |                 |                 |
16.127 |                 | .               |                 |                 |                 |
16.152 |                 | .               |                 |                 |                 |
16.177 |                 | .               |                 |                 |                 |
16.202 |                 | .               |                 |                 |                 |
16.227 |  +CHECK-FOR-MA+ | .               |                 |                 |                 |
16.252 |  ************** | .               |                 |                 |                 |
16.277 |  +FIND-MATCHIN+ | .    =======    |                 |                 |                 |
16.302 |  ************** | .               |                 |                 |                 |
16.327 |  ************** | .    =======    |                 |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
16.352 |                 | .               |                 |  ************** |  ************** |
16.367 |                 | .               |                 |  ************** |  ************** |
16.377 |                 | .               |                 |  ************** |  ************** |
16.387 |                 | .               |                 |  ************** |  ************** |
16.407 |                 | .               |                 |  ************** |  ************** |
16.412 |                 | .               |                 | .    TEXT29     |  ************** |
16.435 |                 | .               |                 | .               |  ************** |
16.445 |  +CLICK-SECOND+ | .               |                 | .               |                 |
16.470 |  ************** | .               |                 | .               |                 |
16.495 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
16.520 |                 | .               |                 | .               |  ************** |
16.525 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 8 #(105 306).
*** CONCENTRATION: Removing matching '8's from window.
*** CONCENTRATION: 8 tiles remain.
16.535 |                 | .               |                 | .               |  ************** |
16.545 |                 | .               |                 | .************** |  ************** |
16.555 |  +READ-SECOND-+ | .               |                 | .************** |                 |
16.580 |  ************** | .               |                 | .************** |                 |
16.605 |  +MATCH-FOUND-+ | .    =======    |                 | .************** |                 |
16.630 |  ************** | .               |                 |E.************** |                 |
16.655 |  +START-FIND-U+ | .    =======    |                 |E.    -------    |                 |
16.680 |  ************** | .               |                 |E                |                 |
16.705 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |E                |                 |
16.730 |  ************** | .               | .               |E                |                 |
16.755 |  ************** | .    =======    | .    -------    |E +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
16.780 |                 | .               |                 |  ************** |  ************** |
16.795 |                 | .               |                 |  ************** |  ************** |
16.805 |                 | .               |                 |  ************** |  ************** |
16.815 |                 | .               |                 |  ************** |  ************** |
16.835 |                 | .               |                 |  ************** |  ************** |
16.840 |                 | .               |                 | .    TEXT30     |  ************** |
16.855 |                 | .               |                 | .               |  ************** |
16.875 |                 | .               |                 | .               |  ************** |
16.895 |                 | .               |                 | .               |  ************** |
16.915 |                 | .               |                 | .               |  ************** |
16.935 |                 | .               |                 | .               |  ************** |
16.955 |                 | .               |                 | .               |  ************** |
16.980 |                 | .               |                 | .               |  ************** |
16.983 |                 | .               |                 | .               |  ************** |
16.993 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
17.018 |  ************** | .               |                 | .               |                 |
17.043 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
17.068 |                 | .               |                 | .               |  ************** |
17.073 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 6 #(205 6).
17.083 |                 | .               |                 | .               |  ************** |
17.093 |                 | .               |                 | .               |  ************** |
17.103 |  +READ-FIRST-T+ | .               |                 | .               |                 |
17.128 |  ************** | .               |                 | .               |                 |
17.153 |  ************** | .    =======    |                 | .    -------    |                 |
17.178 |                 | .               |                 |                 |                 |
17.203 |                 | .               |                 |                 |                 |
17.228 |                 | .               |                 |                 |                 |
17.253 |                 | .               |                 |                 |                 |
17.278 |                 | .               |                 |                 |                 |
17.303 |                 | .               |                 |                 |                 |
17.328 |                 | .               |                 |                 |                 |
17.353 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
17.378 |  ************** | .               |                 |                 |                 |
17.403 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
17.428 |  ************** | .               | .               |                 |                 |
17.453 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
17.478 |                 | .               |                 |  ************** |  ************** |
17.493 |                 | .               |                 |  ************** |  ************** |
17.503 |                 | .               |                 |  ************** |  ************** |
17.513 |                 | .               |                 |  ************** |  ************** |
17.533 |                 | .               |                 |  ************** |  ************** |
17.538 |                 | .               |                 | .    TEXT31     |  ************** |
17.561 |                 | .               |                 | .               |  ************** |
17.571 |  +CLICK-SECOND+ | .               |                 | .               |                 |
17.596 |  ************** | .               |                 | .               |                 |
17.621 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
17.646 |                 | .               |                 | .               |  ************** |
17.651 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 3 #(105 6).
17.661 |                 | .               |                 | .               |  ************** |
17.671 |                 | .               |                 | .               |  ************** |
17.681 |  +READ-SECOND-+ | .               |                 | .               |                 |
17.706 |  ************** | .               |                 | .               |                 |
17.731 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
17.756 |  ************** | .               |                 | .               |                 |
17.781 |  +START-WITH-S+ | .    =======    |                 | .    -------    |                 |
17.806 |  ************** | .               |                 |                 |                 |
17.831 |  ************** | .    =======    |                 |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
17.856 |                 | .               |                 |  ************** |  ************** |
17.871 |                 | .               |                 |  ************** |  ************** |
17.881 |                 | .               |                 |  ************** |  ************** |
17.891 |                 | .               |                 |  ************** |  ************** |
17.911 |                 | .               |                 |  ************** |  ************** |
17.916 |                 | .               |                 | .    TEXT32     |  ************** |
17.931 |                 | .               |                 | .               |  ************** |
17.951 |                 | .               |                 | .               |  ************** |
17.971 |                 | .               |                 | .               |  ************** |
17.981 |                 | .               |                 | .               |  ************** |
17.991 |                 | .               |                 | .               |  ************** |
18.011 |                 | .               |                 | .               |  ************** |
18.031 |                 | .               |                 | .               |  ************** |
18.056 |                 | .               |                 | .               |  ************** |
18.058 |                 | .               |                 | .               |  ************** |
18.068 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
18.093 |  ************** | .               |                 | .               |                 |
18.118 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
18.143 |                 | .               |                 | .               |  ************** |
18.148 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 3 #(305 306).
18.158 |                 | .               |                 | .               |  ************** |
18.168 |                 | .               |                 | .               |  ************** |
18.178 |  +READ-FIRST-T+ | .               |                 | .               |                 |
18.203 |  ************** | .               |                 | .               |                 |
18.228 |  ************** | .    =======    |                 | .    -------    |                 |
18.253 |                 | .               |                 |                 |                 |
18.278 |                 | .               |                 |                 |                 |
18.303 |                 | .               |                 |                 |                 |
18.328 |                 | .               |                 |                 |                 |
18.353 |                 | .               |                 |                 |                 |
18.378 |                 | .               |                 |                 |                 |
18.403 |                 | .               |                 |                 |                 |
18.428 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
18.453 |  ************** | .               |                 |                 |                 |
18.478 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
18.503 |  ************** | .               | .               |                 |                 |
18.528 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
18.553 |                 | .               |                 |  ************** |  ************** |
18.568 |                 | .               |                 |  ************** |  ************** |
18.578 |                 | .               |                 |  ************** |  ************** |
18.588 |                 | .               |                 |  ************** |  ************** |
18.608 |                 | .               |                 |  ************** |  ************** |
18.613 |                 | .               |                 | .    TEXT33     |  ************** |
18.636 |                 | .               |                 | .               |  ************** |
18.646 |  +CLICK-SECOND+ | .               |                 | .               |                 |
18.671 |  ************** | .               |                 | .               |                 |
18.696 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
18.721 |                 | .               |                 | .               |  ************** |
18.726 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 6 #(305 206).
18.736 |                 | .               |                 | .               |  ************** |
18.746 |                 | .               |                 | .               |  ************** |
18.756 |  +READ-SECOND-+ | .               |                 | .               |                 |
18.781 |  ************** | .               |                 | .               |                 |
18.806 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
18.831 |  ************** | .               |                 | .               |                 |
